"filename","nucleus ID","eccentricity","num of R probes","num of G probes","R1 R2","R1 R3","R2 R3","R1 G1","R1 G2","R1 G3","R2 G1","R2 G2","R2 G3","R3 G1","R3 G2","R3 G3","G1 G2","G1 G3","G2 G3","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus","AR1","AR2","AR3","AG1","AG2","AG3"
"SampleFISH.jpg.png",1,0.609201295275901,2,2,20.2237484161567,NA,NA,0,19.6468827043885,NA,18.3847763108502,0,NA,NA,NA,NA,18.3575597506858,NA,NA,514.290801186944,41.7645895153314,4044,227,35.8020601546826,14,16,NA,11,6,NA
"SampleFISH.jpg.png",2,0.506223705908721,3,3,2,32.2800247831379,29.732137494637,15,22.4722050542442,26.9258240356725,12.0415945787923,20.1246117974981,24.5967477524977,13.8924439894498,7,4,5.65685424949238,9.21954445729289,1.4142135623731,128.319383259912,68.1719897209985,10896,329,58.6296887524215,9,13,17,16,12,10
"SampleFISH.jpg.png",3,0.617567219903839,1,2,NA,NA,NA,24.1867732448956,0,NA,NA,NA,NA,NA,NA,NA,19.2353840616713,NA,NA,270.763428571429,72.526693877551,6125,248,43.906279436149,19,NA,NA,20,19,NA
"SampleFISH.jpg.png",4,0.984214935868825,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59375,90.0625,96,56,7.35602558898039,NA,NA,NA,NA,NA,NA
"SampleFISH.jpg.png",5,0.58194927076087,1,2,NA,NA,NA,29.732137494637,6.70820393249937,NA,NA,NA,NA,NA,NA,NA,21.0237960416286,NA,NA,358.695919044459,129.219475779695,6028,248,43.5013713850538,18,NA,NA,7,10,NA
"SampleFISH.jpg.png",6,0.678323151097588,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8456464379947,120.435356200528,758,113,15.769137958484,NA,NA,NA,NA,NA,NA
"SampleFISH.jpg.png",7,0.587639417405665,1,2,NA,NA,NA,80.802227692063,46.1410879802373,NA,NA,NA,NA,NA,NA,NA,74.6726188103779,NA,NA,590.986953184958,157.877718086467,7818,282,49.6409102313026,2,NA,NA,18,14,NA
"SampleFISH.jpg.png",8,0.36223284037592,1,2,NA,NA,NA,34,10,NA,NA,NA,NA,NA,NA,NA,20.6155281280883,NA,NA,732.357012750455,167.015873015873,7686,293,49.0236317957839,16,NA,NA,20,20,NA
"SampleFISH.jpg.png",9,0.366397667918261,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.633956386293,150.92484423676,2568,157,28.2315470586684,NA,NA,NA,NA,NA,NA
"SampleFISH.jpg.png",10,0.620353057344872,1,2,NA,NA,NA,5,47.7074417675063,NA,NA,NA,NA,NA,NA,NA,50.5667875190821,NA,NA,451.602986932172,219.140168014935,6428,262,44.8905510140564,9,NA,NA,8,6,NA
"SampleFISH.jpg.png",11,0.549493834783302,2,2,10,NA,NA,4,19.313207915828,NA,3,8.06225774829855,NA,NA,NA,NA,12.5299640861417,NA,NA,149.864363073749,224.766890149562,5817,242,42.6614962476802,15,17,NA,15,13,NA
"SampleFISH.jpg.png",12,0.636934644813123,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.062735595046,244.917339795369,7428,278,48.3855529003321,NA,NA,NA,19,NA,NA
"SampleFISH.jpg.png",13,0.630926147784838,2,2,7.21110255092798,NA,NA,22.0227155455452,7.61577310586391,NA,14.142135623731,0,NA,NA,NA,NA,13.0384048104053,NA,NA,560.252935082873,257.790745856354,5792,252,43.0729739668971,12,9,NA,10,6,NA
